cell_id,decimalLongitude,decimalLatitude,climate_class,detected,obs_type,log_total_records,n_events,relevance_ratio,recorder_relevance_ratio,recorder_dominance,n_years_with_records,recording_span,recent_activity,mean_coord_uncertainty,spatial_corroboration,national_presence,confirmation_prior
1890142,11.7916666666667,53.5416666666667,1,0,pseudo_absence,6.00388706710654,77,1,1,0.373762376237624,19,185,1,712.559585492228,0,1,0.552392661571503
1890236,19.625,53.5416666666667,1,0,pseudo_absence,8.48899945704546,198,0.907818930041152,1,0.897119341563786,16,68,1,4899.60208711434,1,1,0.960219979286194
1890238,19.7916666666667,53.5416666666667,1,0,pseudo_absence,5.41164605185504,68,1,1,0.188340807174888,21,173,1,3024.89156626506,1,1,0.960219979286194
1890253,21.0416666666667,53.5416666666667,1,0,pseudo_absence,5.11799381241676,57,1,1,0.391566265060241,24,90,1,19333.4360902256,0,1,0.960219979286194
1890260,21.625,53.5416666666667,0,0,pseudo_absence,5.62762111369064,39,0.985559566787004,1,0.454873646209386,16,72,1,3824.93798449612,0,1,0.960219979286194
1890275,22.875,53.5416666666667,1,0,pseudo_absence,9.25979698068878,1506,0.999238530363602,1,0.172282505235104,28,49,1,615.95517035266,0,1,0.960219979286194
1890277,23.0416666666667,53.5416666666667,1,0,pseudo_absence,7.20117088328168,125,0.998507462686567,1,0.183582089552239,24,55,1,4541.94967177243,0,1,0.960219979286194
1890288,23.9583333333333,53.5416666666667,1,0,pseudo_absence,3.40119738166216,19,1,1,0.206896551724138,8,13,1,2507.4,0,1,0.552392661571503
1890302,25.125,53.5416666666667,0,0,pseudo_absence,2.30258509299405,7,1,1,0.444444444444444,5,12,1,343.2,0,1,0.552392661571503
1890329,27.375,53.5416666666667,0,0,pseudo_absence,4.74493212836325,43,0.991228070175439,1,0.254385964912281,10,115,1,207.363636363636,1,1,0.552392661571503
1890362,30.125,53.5416666666667,1,0,pseudo_absence,1.09861228866811,2,1,1,0.5,2,6,1,0,0,1,0.552392661571503
1890364,30.2916666666667,53.5416666666667,1,0,pseudo_absence,4.15888308335967,36,1,1,0.53968253968254,6,8,1,18.2,0,1,0.552392661571503
1890397,33.0416666666667,53.5416666666667,1,0,pseudo_absence,4.33073334028633,1,0.92,1,1,1,0,0,30,0,1,0.552392661571503
1894406,7.125,53.4583333333333,0,0,pseudo_absence,7.88570539124302,752,0.998871331828442,1,0.0756207674943567,32,215,1,396.742461287694,1,1,0.552392661571503
1894415,7.875,53.4583333333333,0,0,pseudo_absence,7.9707403900071,366,0.998617829993089,1,0.488942639944713,27,137,1,1829.70625245773,0,1,0.552392661571503
1894417,8.04166666666666,53.4583333333333,0,0,pseudo_absence,7.94200680848986,613,0.999644381223329,1,0.0672119487908962,29,65,1,406.590007347539,0,1,0.552392661571503
1894432,9.29166666666666,53.4583333333333,0,0,pseudo_absence,7.00669522683704,257,1,1,0.151405258386219,22,52,1,283.136698113208,0,1,0.552392661571503
1894434,9.45833333333331,53.4583333333333,1,0,pseudo_absence,7.45298232946546,519,0.993619489559165,1,0.0991879350348028,29,69,1,252.961911262799,2,1,0.552392661571503
1894455,11.2083333333333,53.4583333333333,1,0,pseudo_absence,8.22737550683403,432,0.99866345896819,1,0.5442395081529,63,214,1,3581.22601580135,0,1,0.552392661571503
1894478,13.125,53.4583333333333,0,0,pseudo_absence,7.29979736675816,560,0.999323867478026,1,0.059499661933739,30,158,1,221.650485436893,0,1,0.552392661571503
1894489,14.0416666666667,53.4583333333333,0,0,pseudo_absence,8.34188696951619,163,0.99880810488677,1,0.688438617401669,52,155,1,4684.02629656684,0,1,0.552392661571503
1894493,14.375,53.4583333333333,0,0,pseudo_absence,7.46908388492123,553,0.997146118721461,1,0.465182648401826,44,186,1,3248.01964395335,0,1,0.960219979286194
1894494,14.4583333333333,53.4583333333333,0,0,pseudo_absence,7.92334821193015,1243,0.991666666666667,1,0.10036231884058,67,120,1,230.483171705647,0,1,0.960219979286194
1894495,14.5416666666667,53.4583333333333,0,0,pseudo_absence,10.0510882566017,4206,0.995513373597929,0.99288256227758,0.252329594477998,148,198,1,3220.45779242618,1,1,0.960219979286194
1894536,17.9583333333333,53.4583333333333,1,0,pseudo_absence,4.60517018598809,61,1,1,0.101010101010101,25,119,1,6814.21794871795,0,1,0.960219979286194
1894537,18.0416666666667,53.4583333333333,1,0,pseudo_absence,4.72738781871234,46,0.991071428571429,1,0.133928571428571,25,53,1,5113.52941176471,0,1,0.960219979286194
1894557,19.7083333333333,53.4583333333333,1,0,pseudo_absence,6.30627528694802,40,0.943327239488117,1,0.643510054844607,16,68,1,2808.1635883905,0,1,0.960219979286194
1894565,20.375,53.4583333333333,1,0,pseudo_absence,3.89182029811063,36,1,1,0.166666666666667,18,31,1,7806.82142857143,0,1,0.960219979286194
1894578,21.4583333333333,53.4583333333333,0,0,pseudo_absence,5.52146091786225,30,1,1,0.879518072289157,16,68,1,4767.53036437247,0,1,0.960219979286194
1894586,22.125,53.4583333333333,1,0,pseudo_absence,4.86753445045558,28,0.945736434108527,1,0.472868217054264,12,66,1,2483.44155844156,0,1,0.960219979286194
1894600,23.2916666666667,53.4583333333333,1,0,pseudo_absence,7.39510754656249,101,0.953902888752305,0.954545454545455,0.596189305470191,23,68,1,9207.38148788927,0,1,0.960219979286194
1894603,23.5416666666667,53.4583333333333,0,0,pseudo_absence,6.00388706710654,49,0.982673267326733,1,0.524752475247525,21,67,1,5151.31304347826,0,1,0.960219979286194
1894622,25.125,53.4583333333333,0,0,pseudo_absence,2.77258872223978,12,1,1,0.4,4,6,1,2127.42857142857,0,1,0.552392661571503
1894624,25.2916666666667,53.4583333333333,0,0,pseudo_absence,2.83321334405622,10,1,1,0.5625,4,27,1,1232.66666666667,0,1,0.552392661571503
1894626,25.4583333333333,53.4583333333333,0,0,pseudo_absence,3.55534806148941,15,1,1,0.852941176470588,3,7,0,700,0,1,0.552392661571503
1894630,25.7916666666667,53.4583333333333,0,0,pseudo_absence,3.98898404656427,34,0.981132075471698,1,0.735849056603774,8,11,1,4686.38,0,1,0.552392661571503
1894637,26.375,53.4583333333333,0,0,pseudo_absence,1.79175946922805,4,1,1,0.4,4,12,1,7008.33333333333,0,1,0.552392661571503
1894644,26.9583333333333,53.4583333333333,0,0,pseudo_absence,4.40671924726425,41,1,1,0.567901234567901,8,17,1,892.333333333333,0,1,0.552392661571503
1894684,30.2916666666667,53.4583333333333,1,0,pseudo_absence,2.39789527279837,7,1,1,0.8,4,9,1,0,0,1,0.552392661571503
1894708,32.2916666666667,53.4583333333333,1,0,pseudo_absence,0.693147180559945,1,1,1,1,1,0,1,79,0,1,0.552392661571503
1898729,7.375,53.375,0,0,pseudo_absence,7.82604401351897,495,0.999600638977636,1,0.162939297124601,35,76,1,205.072399767577,0,1,0.552392661571503
